,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AVTCBUS,0.07101021614,0.067451376027,0.070328735953,0.071454439865,0.070313592139,0.064346854982,0.056451784,0.047067552,0.047759128,0.043695488,0.050323512,0.058688048,0.045487528,0.048849496,0.047557208,0.045007968,0.041661144,0.041100816,0.038480904,0.03826384,0.039611656,0.0377338,0.039606608,0.035694408,0.039202768,0.035946808,0.034987688,0.033867032,0.030404104,0.031075488,0.035365359168,0.033447533104,0.031589288584,0.028283191848,0.026556649648,0.027047375824,0.02705730524,0.02511382524,0.022357708104,0.021696526112,0.021141029048,0.020464703056,0.020949068752,0.022392963336,0.02338758592,0.020201242888,0.021549922096,0.022307132192,0.021171544208,0.022900665808,0.02056877,0.018331688
AVTCPUS,0.038539726103,0.036508196736,0.038169862988,0.038780821845,0.038161643911,0.034827868301,0.030638356164,0.025545205479,0.025920547945,0.023650273224,0.027312328767,0.031852054795,0.024687671233,0.02643989071,0.025810958904,0.02442739726,0.022610958904,0.022245901639,0.020884931507,0.020767123288,0.021498630137,0.020423497268,0.021495890411,0.01937260274,0.021276712329,0.019456284153,0.018989041096,0.018380821918,0.016501369863,0.016819672131,0.019194016438,0.018153145205,0.017144610959,0.015308336066,0.014413221918,0.014679556164,0.014684945205,0.013592909836,0.012134309589,0.011775463014,0.011473975342,0.011076562842,0.011369791781,0.012153443836,0.012693260274,0.010933964481,0.01169589589,0.012106860274,0.011490536986,0.012395033577,0.011163401151,0.009949239863
AVTCZUS,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048,5.048
BACHCAP_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,4,4.3,41.2,43.9,48.3,51.1,53.1,53.6,103.6,103.6
BACHCGW_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.0025,0.004,0.0043,0.0412,0.0439,0.0483,0.0511,0.0531,0.0536,0.1036,0.1036
BAEPADD_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,51.8,71.8,58.5,28.7,146.8,195.6,131.6,217.8,166.8,566.7,3389.8,4206.9,6523.4,14826.4,13045,9547.8
BAEPCAP_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,91,164.8,188.6,199.1,331.7,598.6,707.9,894.8,1020.6,1511.3,4745.4,8976.3,15988.8,30497.7,43540.7,53083.5
BAEPCGW_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.091,0.1648,0.1886,0.1991,0.3317,0.5986,0.7079,0.8948,1.0206,1.5113,4.7454,8.9763,15.9888,30.4977,43.5407,53.0835
BAEPGEN_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.00122,-0.001091,-0.001325,-0.004147,0.015242,-0.019005,-0.019273,-0.022444,-0.15196,-0.444484,-0.859217,-1.1525179,-1.7200933,-1.9359482
BAEPGEN_COUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.01100489,-0.032597,-0.041425,-0.12657,-0.090692,-0.110847,-0.115823,-0.148478,-0.2788,-0.703369,-1.290879,-1.8740555,-3.1136356,-3.8377731
BAEPGEN_EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.01050089,-0.032171,-0.040286,-0.121344,-0.094027,-0.076447,-0.074835,-0.094075,-0.0806,-0.125348,-0.128523,-0.0889338,-0.11834253,-0.14625954
BAEPGEN_FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-0.000358,-0.001741,-0.002035,-0.001559,-0.036664,-0.038197,-0.03220419,-0.03593309,-0.03603264
BAEPGEN_HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.000257,-0.002313,-0.002407,-0.065462,-0.003794,-0.004613,-0.004597,-0.003965,-0.006922,-0.00663,-0.008001,-0.02267477,-0.02829996,-0.02969875
BAEPGEN_MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-0.000658,-0.000647,-0.000715,-0.000824,-0.001916,-0.001424,-0.001224,-0.001544,-0.001311,-0.002442011,-0.008217838,-0.012255837
BAEPGEN_NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.000447,0.000581,0.000123,-3E-06,-0.002421,-0.002876,-0.003564,-0.006568,-0.002294,-0.008089,-0.008336,-0.001759435,-0.0039649646,-0.0047093223
BAEPGEN_NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-0.000479,-0.000739,-0.001573,-0.001717,-0.002035,-0.000501,-0.001633,-0.009862,-0.049134,-0.1882765,-0.3297542,-0.4096886
BAEPGEN_NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.011721,-0.01343,-0.013925,-0.012586,-0.012173,-0.012828,-0.014723,-0.014184,-0.013033,-0.013973,-0.014558,-0.0042348,-0.004527014,-0.009886171
BAEPGEN_PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.00077311,-0.019514,-0.025826,-0.108032,-0.078768,-0.059647,-0.055189,-0.070808,-0.063231,-0.060116,-0.060094,-0.04079525,-0.04896326,-0.05948644
BAEPGEN_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-7.6E-05,5.7E-05,-0.000158,0.002209,0.001643,0.000767,-0.004857,-0.006,-0.00749376,-0.016709667,-0.0238002027
BAEPGEN_SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.000192,0,0,-7E-06,0.000244,8.9E-05,-0.000699,-2.6E-05,-0.000105,-2.7E-05,-4.42549E-06,-2.6625141E-05,-8.887127E-05
BAEPGEN_SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.000716,0.000665,0.000665,0.000279,-0.005394,-0.006426,-0.008415,-0.007059,-0.010363,-0.030227,-0.07779,-0.1194959,-0.235214087,-0.3589563
BAEPGEN_TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-0.000619,-0.00494,-0.007252,-0.011265,-0.024399,-0.034244,-0.093448,-0.176215,-0.3248315,-0.7102312,-0.9869208
BAEPGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.01126189,-0.03491,-0.043832,-0.192032,-0.094486,-0.11546,-0.12042,-0.152443,-0.285722,-0.709999,-1.29888,-1.8967302,-3.1419355,-3.8674717
BAEPGEN_WECC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.000504,-0.000426,-0.001139,-0.004607,0.008275,-0.027148,-0.029723,-0.030004,-0.163956,-0.484573,-0.986141,-1.4602902,-2.2850622,-2.7045929
BAEPRET_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,0,1,2,20,4.7,2.8,5.2,12.5,55.6,11.7,7.4,2,5
BALIT,,,,,,,,,,,,,,,,,,,,,,,,,-0.28175453151,-0.51354012842,0.2702214,0.17782565479,0.11950224932,1.2599460847,0.64685612329,0.28336240548,-0.55498104658,0.0065749726776,-0.28335758356,0.31637852329,-0.25642963836,-0.18123169399,0.10356099452,-0.77667292329,-0.73398370959,-0.59146236885,-1.0885399671,-0.82177646301,-1.118822326,-1.0567026612,-0.51504679452,-1.4758547973,-0.4833449589,-0.3580424615,1.0007480605,1.5695597438
BDACBUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013101613104,0.0020875232632,0.0017237734695,0.0034247309108,0.01158920151,0.033292967294,0.045131462952,0.03873224154,0.041064234291,0.033437030745,0.11358758441,0.11526834143,0.22088807285,0.22080504963,0.24112274537,0.32556856495,0.31810291324,0.30330486452,0.33497731995,0.3511008008,0.38640671505,0.46171592237,0.66049598733,0.76156978087,0.78539,0.8419435
BDNIPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011036358082,0.00038333216438,-4.5647991781E-05,-7.4249322404E-05,2.6914739726E-06,0.0006840960411,-0.008879120726,-0.024365763536,-0.012712909381,-0.005545230937,-0.0034639863014,-0.0060184726776,0.0095269369863,0.0071332630137,0.01728289589,0.040384765027,0.01957750411,0.0041061890411,0.0036920876712,0.0033511174863,0.0015138876712,0.0007641260274,0.015779871233,0.013396443634,-0.0045317844384,-0.0018302816164
BDPRPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00055946,0.00068389,0.000926909,0.001820319,0.005922152,0.016336543737,0.031952052852,0.044113066495,0.033646769156,0.0224034644,0.063110309477,0.064449057451,0.088679465786,0.083429791841,0.082410104258,0.10198604908,0.10409058919,0.12115580818,0.11249227405,0.1180521776,0.11146938341,0.10580746851,0.11068675354,0.10791588522,0.10642351918,0.10013391534
BDPSPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711,0.672,2.004621,1.984355,3.809709,3.130619,3.943299,6.39774,4.267949,4.662217,3.906621,3.665385,4.187499,3.607851,3.813474,4.05396,3.399431,3.404825
BDRIPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039913835616,0.0054684383562,0.016024684932,0.025281592896,0.039263087671,0.041106868493,0.041526010959,0.047300584699,0.047057435616,0.047539767123,0.048561731507,0.047469480874,0.047326139726,0.044630263014,0.046512328767,0.044978517213,0.045121283014,0.044739529041
BDTCBUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013101613104,0.0020875232632,0.0017237734695,0.0034247309108,0.01158920151,0.033292967294,0.045131462952,0.03873224154,0.041064234291,0.033184295295,0.11307113901,0.11471398769,0.18231314799,0.18078423589,0.19064776466,0.26609185789,0.25331247566,0.24290368969,0.23131008319,0.23941240872,0.21820109581,0.21156409702,0.24627108732,0.23672827875,0.2028113,0.1922567
BDTCPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00066980463562,0.0010672218356,0.00088125901096,0.0017460698415,0.0059248436301,0.017020639863,0.023072932208,0.019747302959,0.020993609159,0.016965082575,0.057806296416,0.058485948101,0.093205463085,0.092423824671,0.09746643831,0.13566466395,0.12950303837,0.12418166837,0.11825457274,0.12206237437,0.11155275637,0.10815966842,0.12590321099,0.12069387024,0.10368495534,0.098288837534
BDTCPUS_PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017002225597,0.011496644219,0.041781611485,0.033204355205,0.053942375414,0.051316956178,0.055940427351,0.088364079251,0.082445602756,0.076641901247,0.069692841236,0.074592893497,0.064226616644,0.063529405405,0.079390882227,0.075715353025,0.058563680274,0.053549325479
BFACBUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14207310077,0.16966057603,0.22967319008,0.28977460622,0.33901422075,0.47499296919,0.6019199093,0.82457404832,0.93497037967,1.0747938351,1.1585840833,1.1598567941,1.2924878462,1.31430551,1.3510553467,1.4686108717,1.4736474777,1.4557157413,1.4965926299,1.3554360405,1.4959629096,1.5731397757,1.7853321266,1.8853344985,1.9070672,1.970247
BFLCBUS,,,,,,,0.005859782,0.01578412,0.028843407,0.035162316,0.042190679,0.048299403,0.055104852,0.055457641,0.055797693,0.049126823,0.056459798,0.063665382,0.074015511,0.081954977,0.085626984,0.060897414,0.079930923,0.086451251,0.089833923,0.099178685,0.107596704,0.130054108,0.16865505,0.202613244,0.230100849,0.285019645,0.376692644,0.518792509,0.602595231,0.726574968,0.755697648,0.710872089,0.713630336,0.766474669,0.79057074,0.820820782,0.847153655,0.855233882,0.834983254,0.735147986,0.789495438,0.808228639,0.819290852,0.846038023,0.849582,0.8446613
BFPRBUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14977093383,0.18165684078,0.23797761445,0.29049832676,0.34057223964,0.44351865907,0.61197436167,0.87089596918,0.96813222216,1.1413683075,1.2729981916,1.2170588978,1.2700051682,1.3438123515,1.3818088962,1.4707870796,1.5183188422,1.5659716497,1.5229997208,1.3823990771,1.4551813852,1.4724930942,1.4987851703,1.5408676769,1.5381851,1.5181792
BFTCBUS,,,,,,,,,,,,,,,,,,,,0.10654357967,0.11427619119,0.081842351511,0.10374238161,0.11461446403,0.11914188535,0.13651129296,0.14499075057,0.17326440692,0.23494705397,0.29681467463,0.34673618802,0.48591176984,0.61372750067,0.83835010365,0.95072435412,1.0944088628,1.1777041506,1.1785444861,1.2741327458,1.2920847342,1.3437299518,1.4529815143,1.4524406858,1.4395337468,1.437598069,1.2889145139,1.3731720041,1.3743005636,1.4252332067,1.4140644166,1.3762748,1.3726521
BMCHCAP_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616.4,5818.5,6087.7,6394.6,6372.7,6850.8,6657,6683.9,6690.5,6446.3,6417.3,6305.6,6790.3,6758,6751.5,6770,6776.4
BMCHGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.26729399,29.948711479,30.016443445,31.637546645,31.36117686,31.246136343,31.157434356,31.008398215,30.823950985,29.395233013,27.874937106,27.521300825,28.099410512,25.814662707,26.426494956,26.353649,26.353649
BMCMGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.692980249,2.34130969,2.34278714,2.6009521,2.755142415,2.685087338,2.565208262,2.585043474,2.480828623,2.218969424,2.144494375,2.308513843,4.01249264,3.800429897,3.771583132,3.7614677,3.7614677
BMEPCAP_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5789.4,5793.9,6230.5,7002.6,7161.9,7242.6,7367.9,7276.5,7042.7,6667,6532.5,6086.8,5336.5,5068.3,5033.3,5062.9,5080.9
BMEPGEN_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.473641881,4.027340713,4.241643531,4.530002094,4.950423693,4.711936114,4.166954919,4.037049656,4.154816393,4.12745972,3.859348479,3.711585394,3.541090756,3.341494141,3.285874984,3.2716037,3.2441688
BMEPGEN_COUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.820457782,26.683371831,27.584109285,29.191972854,32.591694136,32.333317072,31.514237665,31.621260342,30.903701269,28.003469197,26.743138497,26.610685054,23.628743065,21.238648414,20.543287965,21.019637,20.714041
BMEPGEN_EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.040681279,20.464403888,21.072234758,22.059521513,24.818932132,24.891084306,24.612412324,25.011337325,24.135674764,21.54141675,20.709777328,20.648828225,17.739402991,15.934602799,15.507574863,15.792523,15.594554
BMEPGEN_FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.354415987,2.380370695,2.263088135,2.226605665,2.782707701,2.700590988,2.512239748,2.937277382,3.043278891,2.492076102,2.166528233,2.201022491,1.840946976,1.389508296,1.356786425,1.4521026,1.4099032
BMEPGEN_HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001614528,0.038746653,0.021613,0.028507,0.036573,0.052424,0.088786,0.103753559,0.104271331,0.108251033,0.093540809,0.120239734,0.112449273,0.14226896,0.083995707,0.05320461,0.06170525
BMEPGEN_MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.354131679,4.5001047,4.677057881,4.610098914,4.856139199,4.707941555,4.522369718,4.597561224,4.215963277,3.659343058,3.376154398,3.505639051,3.436195305,3.067914191,2.988911957,3.1121564,3.0539711
BMEPGEN_NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.729258862,5.059123451,5.006479063,5.181375212,5.74505527,6.054036915,6.015989903,5.744380939,5.359239617,4.568227081,4.389442299,4.45243439,3.451933195,3.285415572,3.326435635,3.3088354,3.3018044
BMEPGEN_NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.303278522,1.148916006,1.060741549,1.419963544,1.473784343,1.45062528,1.51124118,1.45775655,1.479853778,1.282101937,1.217998283,1.282615791,1.196729511,1.105530055,1.103508224,1.1387366,1.1168706
BMEPGEN_NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.851291285,1.724632102,1.67847345,1.804799408,1.911404492,1.788680994,1.802084327,1.847248759,1.754454912,1.569140619,1.606173745,1.549101043,1.058488077,0.868567855,0.809329918,0.913238,0.8376406
BMEPGEN_PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92587255,4.781533574,5.092706621,5.497639235,6.219681031,6.334120276,6.366265356,6.019789902,6.283089335,5.577646945,5.123897529,5.243115035,4.406517293,4.068172403,3.885068672,3.953247,3.9270509
BMEPGEN_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.688489825,1.886624366,2.223345608,2.585752079,3.137698239,3.117463475,3.18967776,3.658194305,3.272133006,3.48314702,3.845552599,3.503870625,3.369589209,3.079337016,2.971303377,2.879373,2.8913357
BMEPGEN_SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137221091,0.132015,0.131084,0.153251,0.1662462,0.188250103,0.203785512,0.206884814,0.207515726,0.191835925,0.202028525,0.19364559,0.175732936,0.175687466,0.169739579,0.1735704,0.1728494
BMEPGEN_SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6682071,0.587639224,0.612500447,0.609556703,0.651505968,0.652864372,0.654062242,0.612789811,0.655172334,0.676867553,0.651153407,0.621203514,0.568280807,0.444923419,0.316511959,0.4048719,0.3884717
BMEPGEN_TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334649,0.455072,0.596989,0.572929,0.697048,0.626807,0.569567,0.502327,0.478184,0.375623237,0.304861,0.34645213,0.583239,0.412098,0.329817535,0.4119015,0.36997577
BMEPGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82207231,26.722118484,27.605722285,29.220479854,32.628267136,32.385741072,31.603023665,31.725013901,31.0079726,28.11172023,26.836679306,26.730924788,23.741192338,21.380917374,20.627284442,21.072842,20.775746
BMEPGEN_WECC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.445127503,5.763895943,5.914885527,6.559522341,7.075714004,6.815425766,6.332258341,6.107596017,6.289842505,6.08642921,5.728500169,5.615404699,5.306101074,4.891947615,4.705895067,4.8152124,4.749511
BMINGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.574313741,27.607401789,27.673656305,29.036594545,28.606034445,28.561049005,28.592226094,28.423354741,28.343122362,27.176263589,25.730442731,25.212786982,24.086917872,22.01423281,22.654910924,22.592183,22.592183
BMTOGEN_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0893663,56.670829963,57.62216573,60.858026499,63.989443996,63.631877415,62.760458021,62.733412116,61.831923585,57.506953243,54.711616412,54.252225613,51.84060285,47.195580081,47.053777398,47.426489,47.129396
BREPUUS,,,,,,,,,,,,,,14.92586166,18.243492063,23.703349206,20.025103175,19.320870079,17.007838583,15.855391304,17.02777381,20.65583004,19.093194444,12.741901186,17.995645669,28.5915,24.428222222,25.030968254,28.859722222,38.298188235,54.595316206,65.176571429,72.494388889,96.943853755,61.749367589,79.640248031,111.32822925,111.65046245,108.55514683,98.891305556,52.321126482,43.742727273,54.158007937,71.211460317,64.340984127,41.688425197,70.891102362,100.9427668,82.405436508,80.488577075,73.575396825,69.739130435
BTTCBUS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013101613104,0.0020875232632,0.0017237734695,0.0034247309108,0.01158920151,0.033292967294,0.045131462952,0.03873224154,0.041064234291,0.033437030745,0.11358758441,0.11526834143,0.22088807285,0.22080504963,0.24112274537,0.32556856495,0.31810291324,0.30330486452,0.33497731995,0.3511008008,0.38640671505,0.46171592237,0.66049598733,0.76156978087,0.78539,0.8419435
