    COMPOSITE TABLE:
cl::SReg   cl::Sulf    cl::Mtyp    cl::Rank    cl::DReg    cl::SubSec  cl::Trate1
    5PRB       1A          1S          2S          16PC        R2            999.99
    6WSR       1A          1S          1B          01NE        R2            999.99
    6WSR       1A          1S          1B          02YP        R2            999.99
    6WSR       1A          1S          1B          03S1        R2            999.99
    6WSR       1A          1S          1B          04S2        R2            999.99
    6WSR       1A          1S          1B          05GF        R2            999.99
    6WSR       1A          1S          1B          06OH        R2            999.99
    6WSR       1A          1S          1B          07EN        R2            999.99
    6WSR       1A          1S          1B          08KT        R2            999.99
    6WSR       1A          1S          1B          09AM        R2            999.99
    6WSR       1A          1S          1B          10C1        R2            999.99
    6WSR       1A          1S          1B          11C2        R2            999.99
    6WSR       1A          1S          1B          12WS        R2             61.42
    6WSR       1A          1S          1B          13MT        I2             20.00
    6WSR       1A          1S          1B          13MT        I3             20.00
    6WSR       1A          1S          1B          15ZN        R2            999.99
    6WSR       1A          2D          1B          13MT        R1             45.26
    6WSR       1A          1S          2S          01NE        R2            999.99
    6WSR       1A          1S          2S          02YP        R2            999.99
    6WSR       1A          1S          2S          03S1        R2            999.99
    6WSR       1A          1S          2S          04S2        R2            999.99
    6WSR       1A          1S          2S          05GF        R2            999.99
    6WSR       1A          1S          2S          06OH        R2            999.99
    6WSR       1A          1S          2S          07EN        R2            999.99
    6WSR       1A          1S          2S          08KT        R2            999.99
    6WSR       1A          1S          2S          09AM        R2            999.99
    6WSR       1A          1S          2S          10C1        R2            999.99
    6WSR       1A          1S          2S          11C2        R2            999.99
    6WSR       1A          1S          2S          12WS        R2            999.99
    6WSR       1A          1S          2S          13MT        R2            999.99
    6WSR       1A          1S          2S          14CU        R2            999.99
    6WSR       1A          1S          2S          15ZN        R2            999.99
    6WSR       1A          1S          2S          16PC        R2              2.25
    1APN       1A          2D          1B          01NE        R2             39.43
    1APN       1A          2D          1B          02YP        R2             15.00
    1APN       1A          2D          1B          03S1        R2             17.53
    1APN       1A          2D          1B          04S2        R2             11.32
    1APN       1A          2D          1B          05GF        R2             35.14
    1APN       1A          2D          1B          06OH        R2              4.23
    1APN       1A          2D          1B          07EN        R2              5.50
    1APN       1A          2D          1B          08KT        R2             18.41
    1APN       1A          2D          1B          09AM        R2             16.35
    1APN       1A          2D          1B          10C1        R2            999.99
    1APN       1A          2D          1B          11C2        R2            999.99
    1APN       1A          2D          1B          12WS        R2            999.99
    1APN       1A          2D          1B          13MT        R2            999.99
    1APN       1A          2D          1B          14CU        R2            999.99
    1APN       1A          2D          1B          15ZN        R2            999.99
    1APN       1A          2D          1B          16PC        R2            999.99
    2APR       1A          2D          1B          01NE        R2            999.99
    2APR       1A          2D          1B          02YP        R2             20.00
    2APR       1A          2D          1B          03S1        R2              6.50
    2APR       1A          2D          1B          04S2        R2              9.00
    2APR       1A          2D          1B          05GF        R2             13.50
    2APR       1A          2D          1B          06OH        R2             15.00
    2APR       1A          2D          1B          07EN        R2              5.85
    2APR       1A          2D          1B          08KT        R2              4.50
    2APR       1A          2D          1B          09AM        R2              5.00
    2APR       1A          2D          1B          10C1        R2            999.99
    2APR       1A          2D          1B          11C2        R2            999.99
    2APR       1A          2D          1B          12WS        R2            999.99
    2APR       1A          2D          1B          13MT        R2            999.99
    2APR       1A          2D          1B          14CU        R2            999.99
    2APR       1A          2D          1B          15ZN        R2            999.99
    2APR       1A          2D          1B          16PC        R2            999.99
    3INR       1A          2D          1B          01NE        R2            999.99
    3INR       1A          2D          1B          02YP        R2            999.99
    3INR       1A          2D          1B          03S1        R2            999.99
    3INR       1A          2D          1B          04S2        R2             20.67
    3INR       1A          2D          1B          05GF        R2            999.99
    3INR       1A          2D          1B          06OH        R2            999.99
    3INR       1A          2D          1B          07EN        R2             15.00
    3INR       1A          2D          1B          08KT        R2              4.20
    3INR       1A          2D          1B          09AM        R2            999.99
    3INR       1A          2D          1B          10C1        R2             29.31
    3INR       1A          2D          1B          11C2        R2             44.78
    3INR       1A          2D          1B          12WS        R2            999.99
    3INR       1A          2D          1B          13MT        R2            999.99
    3INR       1A          2D          1B          14CU        R2            999.99
    3INR       1A          2D          1B          15ZN        R2            999.99
    3INR       1A          2D          1B          16PC        R2            999.99
    1APN       1A          2D          4P          01NE        R2            999.99
    1APN       1A          2D          4P          02YP        R2            999.99
    1APN       1A          2D          4P          03S1        R2            999.99
    1APN       1A          2D          4P          04S2        R2            999.99
    1APN       1A          2D          4P          05GF        R2            999.99
    1APN       1A          2D          4P          06OH        R2            999.99
    1APN       1A          2D          4P          07EN        R2            999.99
    1APN       1A          2D          4P          08KT        R2            999.99
    1APN       1A          2D          4P          09AM        R2            999.99
    1APN       1A          2D          4P          10C1        R2            999.99
    1APN       1A          2D          4P          11C2        R2            999.99
    1APN       1A          2D          4P          12WS        R2            999.99
    1APN       1A          2D          4P          13MT        R2            999.99
    1APN       1A          2D          4P          14CU        R2            999.99
    1APN       1A          2D          4P          15ZN        R2            999.99
    1APN       1A          2D          4P          16PC        R2            999.99
    1APN       1A          2D          4P          01NE        R2            999.99
    1APN       1A          2D          4P          02YP        R2            999.99
    1APN       1A          2D          4P          03S1        R2            999.99
    1APN       1A          2D          4P          04S2        R2            999.99
    1APN       1A          2D          4P          05GF        R2            999.99
    1APN       1A          2D          4P          06OH        R2            999.99
    1APN       1A          2D          4P          07EN        R2            999.99
    1APN       1A          2D          4P          08KT        R2            999.99
    1APN       1A          2D          4P          09AM        R2            999.99
    1APN       1A          2D          4P          10C1        R2            999.99
    1APN       1A          2D          4P          11C2        R2            999.99
    1APN       1A          2D          4P          12WS        R2            999.99
    1APN       1A          2D          4P          13MT        R2            999.99
    1APN       1A          2D          4P          14CU        R2            999.99
    1APN       1A          2D          4P          15ZN        R2            999.99
    1APN       1A          2D          4P          16PC        R2            999.99
    1APN       1A          1S          1B          01NE        I1             39.43
    1APN       1A          1S          1B          02YP        I1             35.56
    1APN       1A          1S          1B          03S1        I1             17.53
    1APN       1A          1S          1B          04S2        I1             35.57
    1APN       1A          1S          1B          05GF        I1             35.14
    1APN       1A          1S          1B          06OH        I1              8.98
    1APN       1A          1S          1B          07EN        I1              5.50
    1APN       1A          1S          1B          08KT        I1             18.41
    1APN       1A          1S          1B          09AM        I1             16.35
    1APN       1A          1S          1B          10C1        I1            999.99
    1APN       1A          1S          1B          11C2        I1            999.99
    1APN       1A          1S          1B          12WS        I1            999.99
    1APN       1A          1S          1B          13MT        I1            999.99
    1APN       1A          1S          1B          14CU        I1            999.99
    1APN       1A          1S          1B          15ZN        I1            999.99
    1APN       1A          1S          1B          16PC        I1            999.99
    1APN       1A          1S          5G          01NE        I1            999.99
    1APN       1A          1S          5G          02YP        I1            999.99
    1APN       1A          1S          5G          03S1        I1            999.99
    1APN       1A          1S          5G          04S2        I1            999.99
    1APN       1A          1S          5G          05GF        I1            999.99
    1APN       1A          1S          5G          06OH        I1            999.99
    1APN       1A          1S          5G          07EN        I1            999.99
    1APN       1A          1S          5G          08KT        I1            999.99
    1APN       1A          1S          5G          09AM        I1            999.99
    1APN       1A          1S          5G          10C1        I1            999.99
    1APN       1A          1S          5G          11C2        I1            999.99
    1APN       1A          1S          5G          12WS        I1            999.99
    1APN       1A          1S          5G          13MT        I1            999.99
    1APN       1A          1S          5G          14CU        I1            999.99
    1APN       1A          1S          5G          15ZN        I1            999.99
    1APN       1A          1S          5G          16PC        I1            999.99
    2APR       1A          1S          1B          01NE        I1            999.99
    2APR       1A          1S          1B          02YP        I1             20.00
    2APR       1A          1S          1B          03S1        I1              3.25
    2APR       1A          1S          1B          04S2        I1              9.99
    2APR       1A          1S          1B          05GF        I1             34.32
    2APR       1A          1S          1B          06OH        I1             13.50
    2APR       1A          1S          1B          07EN        I1             18.03
    2APR       1A          1S          1B          08KT        I1             11.65
    2APR       1A          1S          1B          09AM        I1             17.12
    2APR       1A          1S          1B          10C1        I1            999.99
    2APR       1A          1S          1B          11C2        I1            999.99
    2APR       1A          1S          1B          12WS        I1            999.99
    2APR       1A          1S          1B          13MT        I1            999.99
    2APR       1A          1S          1B          14CU        I1            999.99
    2APR       1A          1S          1B          15ZN        I1            999.99
    2APR       1A          1S          1B          16PC        I1            999.99
    3INR       1A          1S          1B          01NE        I1            999.99
    3INR       1A          1S          1B          02YP        I1            999.99
    3INR       1A          1S          1B          03S1        I1            999.99
    3INR       1A          1S          1B          04S2        I1             20.67
    3INR       1A          1S          1B          05GF        I1            999.99
    3INR       1A          1S          1B          06OH        I1            999.99
    3INR       1A          1S          1B          07EN        I1            999.99
    3INR       1A          1S          1B          08KT        I1              4.20
    3INR       1A          1S          1B          09AM        I1            999.99
    3INR       1A          1S          1B          10C1        I1             29.31
    3INR       1A          1S          1B          11C2        I1             13.32
    3INR       1A          1S          1B          12WS        I1             18.91
    3INR       1A          1S          1B          13MT        I1            999.99
    3INR       1A          1S          1B          14CU        I1             27.31
    3INR       1A          1S          1B          15ZN        I1            999.99
    3INR       1A          1S          1B          16PC        I1             28.31
    4LGN       1A          1S          3L          01NE        I1            999.99
    4LGN       1A          1S          3L          02YP        I1            999.99
    4LGN       1A          1S          3L          03S1        I1            999.99
    4LGN       1A          1S          3L          04S2        I1            999.99
    4LGN       1A          1S          3L          05GF        I1            999.99
    4LGN       1A          1S          3L          06OH        I1            999.99
    4LGN       1A          1S          3L          07EN        I1            999.99
    4LGN       1A          1S          3L          08KT        I1            999.99
    4LGN       1A          1S          3L          09AM        I1            999.99
    4LGN       1A          1S          3L          10C1        I1              1.32
    4LGN       1A          1S          3L          11C2        I1            999.99
    4LGN       1A          1S          3L          12WS        I1            999.99
    4LGN       1A          1S          3L          13MT        I1            999.99
    4LGN       1A          1S          3L          14CU        I1            999.99
    4LGN       1A          1S          3L          15ZN        I1            999.99
    4LGN       1A          1S          3L          16PC        I1            999.99
    5PRB       1A          1S          2S          01NE        I1            999.99
    5PRB       1A          1S          2S          02YP        I1            999.99
    5PRB       1A          1S          2S          03S1        I1            999.99
    5PRB       1A          1S          2S          04S2        I1            999.99
    5PRB       1A          1S          2S          05GF        I1            999.99
    5PRB       1A          1S          2S          06OH        I1            999.99
    5PRB       1A          1S          2S          07EN        I1             14.28
    5PRB       1A          1S          2S          08KT        I1            999.99
    5PRB       1A          1S          2S          09AM        I1            999.99
    5PRB       1A          1S          2S          10C1        I1             13.01
    5PRB       1A          1S          2S          11C2        I1              4.76
    5PRB       1A          1S          2S          12WS        I1             12.33
    5PRB       1A          1S          2S          13MT        I1             14.02
    5PRB       1A          1S          2S          14CU        I1              7.41
    5PRB       1A          1S          2S          15ZN        I1             15.00
    5PRB       1A          1S          2S          16PC        I1             44.22
    6WSR       1A          1S          1B          01NE        I1            999.99
    6WSR       1A          1S          1B          02YP        I1            999.99
    6WSR       1A          1S          1B          03S1        I1            999.99
    6WSR       1A          1S          1B          04S2        I1            999.99
    6WSR       1A          1S          1B          05GF        I1            999.99
    6WSR       1A          1S          1B          06OH        I1            999.99
    6WSR       1A          1S          1B          07EN        I1             14.97
    6WSR       1A          1S          1B          08KT        I1            999.99
    6WSR       1A          1S          1B          09AM        I1            999.99
    6WSR       1A          1S          1B          10C1        I1            999.99
    6WSR       1A          1S          1B          11C2        I1            999.99
    6WSR       1A          1S          1B          12WS        I1            999.99
    6WSR       1A          2D          1B          13MT        R2             45.26
    6WSR       1A          1S          1B          14CU        R1             15.00
    6WSR       1A          1S          1B          15ZN        I1            999.99
    6WSR       1A          1S          1B          14CU        R2             15.00
    6WSR       1A          1S          2S          01NE        I1            999.99
    6WSR       1A          1S          2S          02YP        I1            999.99
    6WSR       1A          1S          2S          03S1        I1            999.99
    6WSR       1A          1S          2S          04S2        I1            999.99
    6WSR       1A          1S          2S          05GF        I1            999.99
    6WSR       1A          1S          2S          06OH        I1            999.99
