,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,47,34,33,25,25,31,31,43,37,28,57,27,22,34,52,48,49,83,96,44,62,34,46,43,58,44,21,17,16,18,6,18,20,9
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,5,3,2,3,0,5,11,2,4,5,23,18,45,98,149,154,129,71,21,53,84,180,145,111,36,1,4,24,22,10,13,30,23
31,24,37,22,30,29,33,21,12,2,15,4,3,4,0,4,2,10,4,11,14,13,8,3,2,4,1,0,10,2,3,1,1,3,2
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,203,249,286,304,363,354,353,393,306,241,380,357,273,355,346,365,480,501,598,487,731,900,1172,1055,1019,734,484,700,994,1094,830,1347,1825,1695
36,6,3,3,6,12,36,28,50,79,73,79,107,5,2,9,10,7,8,10,5,8,7,4,9,3,0,0,1,13,2,2,5,2,0
37,19,10,2,2,0,0,0,0,1,0,231,96,37,346,34,101,137,124,43,25,115,104,18,54,47,13,7,2,28,89,57,39,24,5
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,80,49,33,32,12,29,10,7,1,1,1,3,3,3,9,34,78,167,438,477,785,1272,1815,2011,2186,1502,731,986,1266,1264,598,677,742,1038
40,504,480,340,647,214,226,197,237,179,180,177,249,218,160,174,259,318,335,315,207,207,210,226,188,153,95,47,39,34,29,17,15,16,7
41,207,216,208,150,127,98,110,116,80,51,140,65,87,68,93,109,189,196,281,187,357,423,656,929,1049,768,551,646,849,746,267,220,301,288
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,301,394,192,542,400,201,838,384,243,272,513,584,336,447,329,504,628,247,1463,789,1351,1080,486,411,720,147,293,144,105,280,47,94,229,180
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,1,1,1,3,1,7,7,1,3,4,5,4,2,6,18,8,17,16,6,8,8,9,17,11,1,0,0,1,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,750,591,277,339,158,104,98,279,135,79,46,89,55,87,60,103,119,176,154,98,207,447,583,824,543,263,190,272,325,339,187,181,362,340
49,9,16,8,12,9,6,7,7,6,2,3,5,3,3,5,8,17,9,14,11,5,7,4,5,27,55,41,104,117,111,48,45,50,20
50,143,284,377,285,202,144,107,95,35,94,106,118,76,66,80,73,78,82,93,49,103,96,137,223,408,228,81,121,198,177,70,51,84,62
51,5,8,6,11,9,4,7,11,6,11,9,13,10,15,13,5,8,11,4,3,11,2,3,3,14,3,2,7,5,4,3,15,51,36
52,62,55,45,50,34,45,50,68,23,11,32,18,11,13,21,19,8,13,22,16,20,40,59,71,31,12,11,8,10,18,1,9,9,9
53,73,155,144,126,75,109,83,55,23,28,29,21,18,70,53,54,74,32,46,24,25,62,44,62,255,45,18,38,27,28,24,45,46,51
54,66,67,71,70,80,59,78,82,61,34,27,33,19,35,29,26,38,76,117,336,291,116,128,109,99,47,39,47,48,47,35,30,52,36
55,195,177,255,190,228,798,195,392,126,151,225,227,176,213,347,466,572,614,909,394,1032,1173,1399,1406,1519,925,504,581,626,1123,1078,566,564,575
56,583,491,515,743,506,806,648,883,496,349,481,495,264,442,432,479,598,1045,1081,1075,1781,3139,3919,3652,3756,2557,1908,2697,3794,4498,2735,3113,3657,3701
57,162,141,153,215,108,129,212,235,125,143,133,128,133,156,93,123,102,116,120,98,135,180,211,229,233,121,108,85,105,102,42,73,92,92
58,81,61,48,44,44,32,39,42,36,16,20,55,52,76,79,81,82,121,138,468,659,244,206,236,149,38,30,24,33,39,9,21,40,25
59,48,55,28,44,21,44,72,80,24,15,22,20,38,25,36,51,92,76,107,103,148,298,314,358,339,154,39,48,63,29,13,20,20,21
60,44,51,48,52,52,99,137,163,135,10,77,91,33,110,228,275,294,286,353,217,448,435,572,668,698,173,72,165,187,146,71,134,127,87
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,21,22,19,3,8,5,3,0,0,4,2,2,7,1,1,3,6,10,28,13,9,11,41,25,17,18,16,26,9,15,10,0,5,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,130,62,66,85,84,84,65,75,55,64,65,64,40,60,58,64,76,82,60,53,92,116,138,125,173,129,77,159,143,316,107,110,190,269
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
